"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3432","@regression Navigate to cart page","","2025-12-31","passed","2025-12-31","","","",""
"","1638","@regression Locked out user sees appropriate error message","","2025-12-31","passed","2025-12-31","","","",""
"","1046","@regression Sort price high → low","","2025-12-31","passed","2025-12-31","","","",""
"","3364","@regression Sort Z → A","","2025-12-31","passed","2025-12-31","","","",""
"","1702","@regression Sort price low → high","","2025-12-31","passed","2025-12-31","","","",""
"","1800","@regression Cancel checkout returns to cart","","2025-12-31","passed","2025-12-31","","","",""
"","3466","@regression Checkout fails when required fields are missing","","2025-12-31","passed","2025-12-31","","","",""
"","3113","@regression Login with invalid credentials shows error","","2025-12-31","passed","2025-12-31","","","",""
